profile	case	run	status	tactic_ms
duper-only	00_import_only	1	pass	0
duper-only	01_prop_chain	1	pass	105
duper-only	02_congruence	1	pass	58
duper-only	03_quantified	1	pass	91
duper-only	04_existential	1	pass	99
duper-only	05_skolemization	1	pass	119
duper-only	06_funext	1	pass	53
duper-only	07_higher_order	1	pass	81
duper-only	08_int_linear	1	fail	257
duper-only	09_nat_sub	1	fail	103
duper-only	10_option_injective	1	pass	81
duper-only	11_enum_pigeonhole	1	fail	107
duper-only	12_list_assoc	1	pass	85
duper-only	13_composition	1	pass	134
duper-only	14_bool_mixed	1	fail	2030
duper-only	15_bitvec	1	fail	224
duper-only	16_string	1	fail	161
duper-only	17_empty	1	fail	63
duper-only	18_church_tower	1	pass	369
duper-only	19_polymorphic	1	pass	106
duper-only	20_irrelevant_quantifier	1	fail	14782
auto-duper	00_import_only	1	pass	0
auto-duper	01_prop_chain	1	pass	1337
auto-duper	02_congruence	1	pass	113
auto-duper	03_quantified	1	pass	134
auto-duper	04_existential	1	pass	153
auto-duper	05_skolemization	1	pass	183
auto-duper	06_funext	1	pass	116
auto-duper	07_higher_order	1	fail	93
auto-duper	08_int_linear	1	fail	130
auto-duper	09_nat_sub	1	fail	84
auto-duper	10_option_injective	1	fail	74
auto-duper	11_enum_pigeonhole	1	fail	78
auto-duper	12_list_assoc	1	pass	171
auto-duper	13_composition	1	pass	188
auto-duper	14_bool_mixed	1	fail	105
auto-duper	15_bitvec	1	fail	122
auto-duper	16_string	1	fail	84
auto-duper	17_empty	1	fail	119
auto-duper	18_church_tower	1	fail	6
auto-duper	19_polymorphic	1	fail	3
auto-duper	20_irrelevant_quantifier	1	fail	165
