suite	backend	repeat	file	proof	goal_hash	status	category	milliseconds	synthetic	message	goal
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.base_Safety_unique_holder	-	pass	-	862.183	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.base_Safety_no_lock_while_transfer	-	pass	-	1028.202	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.base_Safety_unique_accept	-	pass	-	1149.478	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.base_Safety_not_held_after_release	-	pass	-	1273.723	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.base_Safety_transfer_to_higher	-	pass	-	1403.197	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.Node.Act.eGrant_correct_Safety_safety	-	fail	tactic	0.000	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.Node.Act.eAccept_correct_Safety_safety	-	fail	tactic	0.000	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.base_Safety_UniqueActions	-	pass	-	1497.527	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.base_Safety_IncreasingCount	-	pass	-	1601.207	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.base_Safety_ReceivedSubsetSent	-	pass	-	1707.384	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.Node.Act.eGrant_correct_Safety_default	-	fail	tactic	2142.884	false	-	-
plean	duper	1	Examples/DistributedLock.lean	DistributedLock.Node.Act.eAccept_correct_Safety_default	-	fail	tactic	2690.371	false	-	-
plean	duper	1	Examples/PingPongAuto.lean	PingPongAuto.base_Safety_pong_after_ping	-	pass	-	214.495	false	-	-
plean	duper	1	Examples/PingPongAuto.lean	PingPongAuto.Server.Idle.ePing_correct_Safety_safety_using_default	-	fail	tactic	639.383	false	-	-
plean	duper	1	Examples/PingPongAuto.lean	PingPongAuto.base_Safety_UniqueActions	-	pass	-	1058.798	false	-	-
plean	duper	1	Examples/PingPongAuto.lean	PingPongAuto.base_Safety_IncreasingCount	-	pass	-	1116.844	false	-	-
plean	duper	1	Examples/PingPongAuto.lean	PingPongAuto.base_Safety_ReceivedSubsetSent	-	pass	-	1169.020	false	-	-
plean	duper	1	Examples/PingPongAuto.lean	PingPongAuto.Server.Idle.ePing_correct_Safety_default	-	fail	tactic	2062.595	false	-	-
plean	duper	1	Examples/PingPongTrivial.lean	PingPongTrivial.base_Safety_always_true	-	pass	-	0.000	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.base_of_Safety_transfer_means_no_owner	-	pass	-	563.112	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.base_of_Safety_unique_key_transfer	-	pass	-	723.887	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.base_of_Safety_transfer_means_not_own	-	pass	-	909.871	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.base_of_Safety_unique_owner	-	fail	tactic	2499.309	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.Node.Serving.eReshard_correct_of_Safety_Safety	-	fail	tactic	0.000	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.Node.Serving.eTransfer_correct_of_Safety_Safety	-	fail	tactic	0.000	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.base_of_Safety_UniqueActions	-	pass	-	2588.378	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.base_of_Safety_IncreasingCount	-	pass	-	2724.120	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.base_of_Safety_ReceivedSubsetSent	-	pass	-	2900.993	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.Node.Serving.eReshard_correct_of_Safety_default	-	fail	tactic	3685.959	false	-	-
plean	duper	1	Examples/ShardedKV.lean	ShardedKV.Node.Serving.eTransfer_correct_of_Safety_default	-	fail	tactic	4963.275	false	-	-
