suite	backend	repeat	file	exit_code	wall_seconds	vc_count	message
loom	auto	1	LoomBackend.lean	0	27	4	-
loom	crush	1	LoomBackend.lean	0	12	4	-
cashmere	auto	1	CaseStudies/Cashmere/Cashmere.lean	1	12	28	-
cashmere	auto	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	1	8	10	-
cashmere	crush	1	CaseStudies/Cashmere/Cashmere.lean	0	28	28	-
cashmere	crush	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	0	12	10	-
velvet	auto	1	Velvet/Examples/EncodeDecodeStr.lean	1	78	27	-
velvet	auto	1	Velvet/Examples/Examples.lean	1	13	40	-
velvet	auto	1	Velvet/Examples/Examples_Total.lean	1	21	73	-
velvet	auto	1	Velvet/Examples/GCD.lean	0	21	3	-
velvet	auto	1	Velvet/Examples/IsNonPrime.lean	1	18	15	-
velvet	auto	1	Velvet/Examples/IsSorted.lean	1	19	14	-
velvet	auto	1	Velvet/Examples/MaxElem.lean	1	7	10	-
velvet	auto	1	Velvet/Examples/MemAlloc.lean	1	165	18	-
velvet	auto	1	Velvet/Examples/Recursion.lean	1	140	60	-
velvet	auto	1	Velvet/Examples/SmallHeartBeats.lean	0	6	0	-
velvet	auto	1	Velvet/Examples/SpMSpV_Example.lean	1	563	78	-
velvet	auto	1	Velvet/Examples/SubstringSearch.lean	1	42	74	-
velvet	auto	1	Velvet/Examples/SumOfDigits.lean	1	6	8	-
velvet	auto	1	Velvet/Examples/TestLoopControl.lean	1	11	23	-
velvet	auto	1	Velvet/Examples/TestMatch.lean	1	11	7	-
velvet	auto	1	Velvet/Examples/Total_Partial_example.lean	1	14	45	-
velvet	crush	1	Velvet/Examples/EncodeDecodeStr.lean	1	83	27	-
velvet	crush	1	Velvet/Examples/Examples.lean	1	49	40	-
velvet	crush	1	Velvet/Examples/Examples_Total.lean	1	87	73	-
velvet	crush	1	Velvet/Examples/GCD.lean	0	10	3	-
velvet	crush	1	Velvet/Examples/IsNonPrime.lean	1	47	15	-
velvet	crush	1	Velvet/Examples/IsSorted.lean	0	33	14	-
velvet	crush	1	Velvet/Examples/MaxElem.lean	0	26	10	-
velvet	crush	1	Velvet/Examples/MemAlloc.lean	1	20	18	-
velvet	crush	1	Velvet/Examples/Recursion.lean	1	51	60	-
velvet	crush	1	Velvet/Examples/SmallHeartBeats.lean	1	10	0	-
velvet	crush	1	Velvet/Examples/SpMSpV_Example.lean	1	132	56	-
velvet	crush	1	Velvet/Examples/SubstringSearch.lean	1	103	29	-
velvet	crush	1	Velvet/Examples/SumOfDigits.lean	0	22	8	-
velvet	crush	1	Velvet/Examples/TestLoopControl.lean	0	15	23	-
velvet	crush	1	Velvet/Examples/TestMatch.lean	0	10	7	-
velvet	crush	1	Velvet/Examples/Total_Partial_example.lean	1	47	45	-
