suite	lane	repeat	vc_key	declaration	goal_hash	commands	assumes	steps	anchors	sexp_nodes	certificate_bytes	replay_nanos	replay_ms	nanos_per_command	nanos_per_step
loom	crush-alethe	1	LoomBackend.lean|_example|16574041739855843339	_example	16574041739855843339	14	2	12	0	252	1112	85806375	85.806	6129026.8	7150531.2
loom	crush-alethe	1	LoomBackend.lean|_example|17176297989995940323	_example	3183364163658682212	673	42	613	18	10551	51991	8461177667	8461.178	12572329.4	13802899.9
loom	crush-alethe	1	LoomBackend.lean|_example|773944412226978707	_example	10692569989160547002	512	34	462	16	8765	42000	3766129875	3766.130	7355722.4	8151796.3
loom	crush-alethe	1	LoomBackend.lean|_example|11766715760782255510	_example	11766715760782255510	16	3	13	0	282	1231	79692541	79.693	4980783.8	6130195.5
loom	crush-portfolio	1	LoomBackend.lean|_example|16574041739855843339	_example	16574041739855843339	14	2	12	0	252	1112	83321417	83.321	5951529.8	6943451.4
loom	crush-portfolio	1	LoomBackend.lean|_example|17176297989995940323	_example	3183364163658682212	673	42	613	18	10551	51991	8499575209	8499.575	12629383.7	13865538.7
loom	crush-portfolio	1	LoomBackend.lean|_example|773944412226978707	_example	10692569989160547002	512	34	462	16	8765	42000	3806450958	3806.451	7434474.5	8239071.3
loom	crush-portfolio	1	LoomBackend.lean|_example|11766715760782255510	_example	11766715760782255510	16	3	13	0	282	1231	79145209	79.145	4946575.6	6088093.0
velvet	crush-alethe	1	Velvet/Examples/Examples.lean|sqrt_correct|17119794831572106230	sqrt_correct	5307985127850147097	25	6	19	0	385	1596	174890083	174.890	6995603.3	9204741.2
velvet	crush-alethe	1	Velvet/Examples/Examples.lean|sqrt_correct|16395326812896940336	sqrt_correct	3661544389526892522	25	6	19	0	385	1596	128168250	128.168	5126730.0	6745697.4
velvet	crush-alethe	1	Velvet/Examples/Examples.lean|sqrt_correct|4559485301326837329	sqrt_correct	4559485301326837329	13	4	9	0	187	764	41865625	41.866	3220432.7	4651736.1
velvet	crush-alethe	1	Velvet/Examples/Examples.lean|sqrt_correct|13635698331308129878	sqrt_correct	9636917653559417038	10	6	4	0	122	538	100781375	100.781	10078137.5	25195343.8
velvet	crush-alethe	1	Velvet/Examples/IsNonPrime.lean|IsNonPrime_correct|12543135627460772462	IsNonPrime_correct	12543135627460772462	11	3	8	0	143	592	63094708	63.095	5735882.5	7886838.5
velvet	crush-alethe	1	Velvet/Examples/IsNonPrime.lean|IsNonPrime_correct|1572539502098385654	IsNonPrime_correct	1572539502098385654	46	3	40	3	1255	4792	1037815042	1037.815	22561196.6	25945376.1
velvet	crush-alethe	1	Velvet/Examples/IsNonPrime.lean|IsNonPrime_correct|11076373139303988464	IsNonPrime_correct	11076373139303988464	134	8	123	3	2022	9523	853750417	853.750	6371271.8	6941060.3
velvet	crush-alethe	1	Velvet/Examples/MemAlloc.lean|mem_alloc_correct|5395433166570123997	mem_alloc_correct	5395433166570123997	11	9	2	0	139	704	70468583	70.469	6406234.8	35234291.5
velvet	crush-alethe	1	Velvet/Examples/MemAlloc.lean|mem_alloc_correct|880346177993498408	mem_alloc_correct	880346177993498408	13	9	4	0	166	830	74746791	74.747	5749753.2	18686697.8
velvet	crush-alethe	1	Velvet/Examples/Recursion.lean|simple_recursion_correct|16321134497628070328	simple_recursion_correct	16321134497628070328	147	11	134	2	2272	10265	938403792	938.404	6383699.3	7003013.4
velvet	crush-alethe	1	Velvet/Examples/Recursion.lean|pickGreater_correct|6729724634728447689	pickGreater_correct	6729724634728447689	129	9	117	3	1948	9256	1304037583	1304.038	10108818.5	11145620.4
velvet	crush-alethe	1	Velvet/Examples/Recursion.lean|pickGreaterN_correct|928177310960349346	pickGreaterN_correct	928177310960349346	275	20	250	5	4247	20110	7132693834	7132.694	25937068.5	28530775.3
velvet	crush-alethe	1	Velvet/Examples/Recursion.lean|SimpleOption_correct|10153057550358142642	SimpleOption_correct	10153057550358142642	13	5	8	0	192	763	57376083	57.376	4413544.8	7172010.4
velvet	crush-alethe	1	Velvet/Examples/Recursion.lean|complex_measure_binsearch_correct|9897963110172432531	complex_measure_binsearch_correct	9897963110172432531	49	11	38	0	912	3709	1031175208	1031.175	21044392.0	27136189.7
velvet	crush-alethe	1	Velvet/Examples/SumOfDigits.lean|SumOfDigits_correct|6640297411548399355	SumOfDigits_correct	6640297411548399355	12	4	8	0	194	778	29622167	29.622	2468513.9	3702770.9
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test1_correct|4791612905070682933	test1_correct	4791612905070682933	89	8	81	0	1516	6272	862248750	862.249	9688188.2	10645046.3
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test1_correct|4635955882467741603	test1_correct	4635955882467741603	24	8	16	0	373	1486	179839166	179.839	7493298.6	11239947.9
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test1_correct|4791612905070682933	test1_correct	4791612905070682933	83	8	75	0	1400	5787	686883208	686.883	8275701.3	9158442.8
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test1_correct|4982008840348523404	test1_correct	4982008840348523404	66	10	55	1	995	4472	391249666	391.250	5928025.2	7113630.3
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test1_correct|14929476196725773389	test1_correct	14929476196725773389	15	3	12	0	201	830	34617916	34.618	2307861.1	2884826.3
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test1_correct|2311107858308393802	test1_correct	2311107858308393802	219	20	193	6	3211	15527	1181693542	1181.694	5395860.9	6122764.5
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test2_correct|4791612905070682933	test2_correct	4791612905070682933	84	9	75	0	1424	5867	879489875	879.490	10470117.6	11726531.7
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test2_correct|817407402121334710	test2_correct	817407402121334710	84	13	69	2	1193	5491	447836375	447.836	5331385.4	6490382.2
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test2_correct|14929476196725773389	test2_correct	14929476196725773389	15	3	12	0	201	830	27115042	27.115	1807669.5	2259586.8
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean|test2_correct|2311107858308393802	test2_correct	2311107858308393802	49	12	37	0	799	3363	232186875	232.187	4738507.7	6275320.9
velvet	crush-alethe	1	Velvet/Examples/TestMatch.lean|test3_correct|12313593517213863317	test3_correct	12313593517213863317	15	7	8	0	169	695	47098167	47.098	3139877.8	5887270.9
velvet	crush-alethe	1	Velvet/Examples/TestMatch.lean|test3_correct|5915416142655103160	test3_correct	5915416142655103160	121	16	103	2	1874	8797	974296208	974.296	8052034.8	9459186.5
velvet	crush-portfolio	1	Velvet/Examples/Examples.lean|sqrt_correct|17119794831572106230	sqrt_correct	5307985127850147097	25	6	19	0	385	1596	170444083	170.444	6817763.3	8970741.2
velvet	crush-portfolio	1	Velvet/Examples/Examples.lean|sqrt_correct|16395326812896940336	sqrt_correct	3661544389526892522	25	6	19	0	385	1596	129076333	129.076	5163053.3	6793491.2
velvet	crush-portfolio	1	Velvet/Examples/Examples.lean|sqrt_correct|4559485301326837329	sqrt_correct	4559485301326837329	13	4	9	0	187	764	41149041	41.149	3165310.8	4572115.7
velvet	crush-portfolio	1	Velvet/Examples/Examples.lean|sqrt_correct|13635698331308129878	sqrt_correct	9636917653559417038	10	6	4	0	122	538	89390542	89.391	8939054.2	22347635.5
velvet	crush-portfolio	1	Velvet/Examples/IsNonPrime.lean|IsNonPrime_correct|12543135627460772462	IsNonPrime_correct	12543135627460772462	11	3	8	0	143	592	67589916	67.590	6144537.8	8448739.5
