suite	backend	ref	commit	toolchain	solver	timeout	duper_timeout	vc_max_heartbeats	max_rec_depth	crush_trust	crush_reconstruct	crush_commit	duper_commit	crush_dirty	worktree	crush_profile
loom	crush-verify	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	trust	auto	08a4eb091e94a369dc8eb77b70cacffe7f0138ff	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
loom	crush-core	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	reconstruct	core	08a4eb091e94a369dc8eb77b70cacffe7f0138ff	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
loom	crush-alethe	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	reconstruct	alethe	08a4eb091e94a369dc8eb77b70cacffe7f0138ff	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
loom	crush-portfolio	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	reconstruct	auto	08a4eb091e94a369dc8eb77b70cacffe7f0138ff	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
loom	grind	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	-	-	-	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
cashmere	crush-verify	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	trust	auto	08a4eb091e94a369dc8eb77b70cacffe7f0138ff	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
cashmere	crush-core	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	reconstruct	core	08a4eb091e94a369dc8eb77b70cacffe7f0138ff	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
cashmere	crush-alethe	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	reconstruct	alethe	08a4eb091e94a369dc8eb77b70cacffe7f0138ff	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
cashmere	crush-portfolio	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	reconstruct	auto	08a4eb091e94a369dc8eb77b70cacffe7f0138ff	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
cashmere	grind	ec16b95ff8bbd047248de031cabd3160847e4b1b	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	cvc5	5	5	1000000	1000000	-	-	-	-	false	/var/folders/_b/5w9jgxbs43z847y5w0b83ymw0000gq/T//lean-crush-corpora.PUQp6d/loom-crush	true
