suite	lane	phase	events	total_ms	mean_ms	min_ms	max_ms	phase_pct
cashmere	crush-alethe	collect	29	15.778	0.544	0.172	2.417	0.2
cashmere	crush-alethe	instantiate	29	5459.447	188.257	11.002	464.871	77.2
cashmere	crush-alethe	monomorphize	29	0.848	0.029	0.020	0.117	0.0
cashmere	crush-alethe	normalize	29	42.930	1.480	0.819	2.555	0.6
cashmere	crush-alethe	replay	29	0.658	0.023	0.013	0.139	0.0
cashmere	crush-alethe	solve	29	1075.728	37.094	28.915	49.438	15.2
cashmere	crush-alethe	translate	29	477.445	16.464	3.821	48.809	6.8
cashmere	crush-core	collect	29	10.228	0.353	0.116	1.688	0.2
cashmere	crush-core	instantiate	19	3059.822	161.043	14.378	385.302	45.1
cashmere	crush-core	monomorphize	19	0.561	0.030	0.018	0.104	0.0
cashmere	crush-core	normalize	19	27.968	1.472	0.974	2.363	0.4
cashmere	crush-core	pre-reconstruct	24	1513.363	63.057	0.549	1358.632	22.3
cashmere	crush-core	reconstruct	19	1078.528	56.765	11.475	447.456	15.9
cashmere	crush-core	replay	19	0.146	0.008	0.004	0.042	0.0
cashmere	crush-core	solve	19	775.948	40.839	32.663	61.611	11.4
cashmere	crush-core	translate	19	314.551	16.555	9.082	49.544	4.6
cashmere	crush-portfolio	collect	29	10.258	0.354	0.122	1.619	0.2
cashmere	crush-portfolio	instantiate	19	3088.247	162.539	14.397	385.151	46.4
cashmere	crush-portfolio	monomorphize	19	0.571	0.030	0.019	0.122	0.0
cashmere	crush-portfolio	normalize	19	28.238	1.486	0.937	2.372	0.4
cashmere	crush-portfolio	pre-reconstruct	24	1484.983	61.874	0.540	1325.789	22.3
cashmere	crush-portfolio	reconstruct	19	1057.057	55.635	11.112	443.195	15.9
cashmere	crush-portfolio	replay	19	0.522	0.027	0.014	0.147	0.0
cashmere	crush-portfolio	solve	19	669.140	35.218	29.102	57.041	10.1
cashmere	crush-portfolio	translate	19	318.041	16.739	9.146	48.832	4.8
cashmere	crush-verify	collect	29	11.454	0.395	0.177	1.777	0.2
cashmere	crush-verify	instantiate	23	3980.982	173.086	16.220	395.390	60.5
cashmere	crush-verify	monomorphize	23	0.667	0.029	0.019	0.109	0.0
cashmere	crush-verify	normalize	23	36.643	1.593	0.870	2.849	0.6
cashmere	crush-verify	pre-reconstruct	24	1210.616	50.442	0.116	1075.424	18.4
cashmere	crush-verify	solve	23	941.474	40.934	31.762	59.440	14.3
cashmere	crush-verify	translate	23	394.748	17.163	9.436	50.584	6.0
loom	crush-alethe	collect	4	2.065	0.516	0.110	1.344	0.0
loom	crush-alethe	instantiate	4	0.297	0.074	0.027	0.215	0.0
loom	crush-alethe	monomorphize	4	0.138	0.034	0.012	0.087	0.0
loom	crush-alethe	normalize	4	1.792	0.448	0.052	1.191	0.0
loom	crush-alethe	replay	4	12392.806	3098.202	79.693	8461.178	98.1
loom	crush-alethe	solve	4	225.122	56.281	28.280	86.660	1.8
loom	crush-alethe	translate	4	9.193	2.298	1.071	4.590	0.1
loom	crush-core	collect	4	1.190	0.297	0.101	0.515	0.4
loom	crush-core	instantiate	4	0.314	0.078	0.025	0.236	0.1
loom	crush-core	monomorphize	4	0.158	0.039	0.012	0.111	0.1
loom	crush-core	normalize	4	1.908	0.477	0.053	1.225	0.6
loom	crush-core	pre-reconstruct	4	8.127	2.032	0.890	3.159	2.6
loom	crush-core	reconstruct	4	69.302	17.325	10.664	24.816	22.1
loom	crush-core	replay	4	0.052	0.013	0.005	0.037	0.0
loom	crush-core	solve	4	222.674	55.668	27.589	84.653	71.1
loom	crush-core	translate	4	9.512	2.378	1.090	4.885	3.0
loom	crush-portfolio	collect	4	1.251	0.313	0.109	0.531	0.0
loom	crush-portfolio	instantiate	4	0.301	0.075	0.027	0.218	0.0
loom	crush-portfolio	monomorphize	4	0.141	0.035	0.014	0.093	0.0
loom	crush-portfolio	normalize	4	2.012	0.503	0.052	1.360	0.0
loom	crush-portfolio	pre-reconstruct	4	8.421	2.105	0.937	3.054	0.1
loom	crush-portfolio	replay	4	12468.493	3117.123	79.145	8499.575	97.7
loom	crush-portfolio	solve	4	275.541	68.885	33.622	107.334	2.2
loom	crush-portfolio	translate	4	9.488	2.372	1.155	4.653	0.1
loom	crush-verify	collect	4	1.735	0.434	0.099	1.055	0.5
loom	crush-verify	instantiate	4	0.940	0.235	0.028	0.854	0.3
loom	crush-verify	monomorphize	4	0.741	0.185	0.012	0.694	0.2
loom	crush-verify	normalize	4	2.072	0.518	0.048	1.257	0.6
loom	crush-verify	pre-reconstruct	4	7.632	1.908	0.862	3.871	2.2
loom	crush-verify	solve	4	314.874	78.719	31.587	103.725	92.2
loom	crush-verify	translate	4	13.415	3.354	1.073	8.847	3.9
velvet	crush-alethe	collect	368	196.173	0.533	0.092	27.638	0.1
velvet	crush-alethe	instantiate	368	14687.874	39.913	0.024	1801.189	6.4
velvet	crush-alethe	monomorphize	368	2370.775	6.442	0.010	73.151	1.0
velvet	crush-alethe	normalize	368	719.808	1.956	0.037	6.412	0.3
velvet	crush-alethe	replay	341	35282.186	103.467	0.013	7132.694	15.3
velvet	crush-alethe	solve	368	153000.029	415.761	27.708	5056.652	66.2
velvet	crush-alethe	solve-fallback	5	20358.840	4071.768	215.987	5051.190	8.8
velvet	crush-alethe	translate	368	4360.488	11.849	0.636	129.038	1.9
velvet	crush-alethe	translate-fallback	5	154.383	30.877	2.022	46.116	0.1
velvet	crush-core	collect	310	122.478	0.395	0.044	21.452	0.0
