suite	backend	attempted	passed	failed	pass_pct	total_ms	mean_ms	min_ms	max_ms	successful_mean_ms
cashmere	crush-verify	38	38	0	100.0	6769.0	178.1	1.0	1080.0	178.1
velvet	grind	513	447	66	87.1	28264.0	55.1	0.0	2918.0	19.9
cashmere	crush-alethe	38	9	29	23.7	7249.0	190.8	2.0	563.0	2.4
loom	crush-verify	4	4	0	100.0	360.0	90.0	37.0	111.0	90.0
loom	crush-alethe	4	4	0	100.0	12660.0	3165.0	115.0	8563.0	3165.0
velvet	crush-portfolio	433	401	32	92.6	316181.0	730.2	0.0	18177.0	229.5
cashmere	crush-portfolio	38	38	0	100.0	6825.0	179.6	1.0	1330.0	179.6
velvet	crush-verify	513	490	23	95.5	213187.0	415.6	0.0	10453.0	214.4
velvet	crush-alethe	513	172	341	33.5	235784.0	459.6	0.0	10507.0	122.8
loom	grind	4	4	0	100.0	36.0	9.0	6.0	12.0	9.0
cashmere	grind	38	19	19	50.0	274.0	7.2	4.0	14.0	5.9
loom	crush-portfolio	4	4	0	100.0	12797.0	3199.2	127.0	8625.0	3199.2
cashmere	crush-core	38	38	0	100.0	6947.0	182.8	1.0	1363.0	182.8
velvet	crush-core	433	401	32	92.6	295341.0	682.1	1.0	18581.0	174.3
loom	crush-core	4	4	0	100.0	335.0	83.8	53.0	121.0	83.8
