suite	lane	repeat	vc_key	status	category	milliseconds	message
leanhammer	crush-only	1	01_prop_chain	pass	-	8	-
leanhammer	crush-only	1	02_congruence	pass	-	43	-
leanhammer	crush-only	1	03_quantified	pass	-	7	-
leanhammer	crush-only	1	04_existential	pass	-	6	-
leanhammer	crush-only	1	05_skolemization	pass	-	9	-
leanhammer	crush-only	1	06_funext	pass	-	59	-
leanhammer	crush-only	1	07_higher_order	pass	-	11	-
leanhammer	crush-only	1	08_int_linear	pass	-	69	-
leanhammer	crush-only	1	09_nat_sub	pass	-	62	-
leanhammer	crush-only	1	10_option_injective	pass	-	34	-
leanhammer	crush-only	1	11_enum_pigeonhole	pass	-	132	-
leanhammer	crush-only	1	12_list_assoc	pass	-	9	-
leanhammer	crush-only	1	13_composition	pass	-	63	-
leanhammer	crush-only	1	14_bool_mixed	pass	-	22	-
leanhammer	crush-only	1	15_bitvec	pass	-	69	-
leanhammer	crush-only	1	16_string	pass	-	59	-
leanhammer	crush-only	1	17_empty	pass	-	6	-
leanhammer	crush-only	1	18_church_tower	pass	-	138	-
leanhammer	crush-only	1	19_polymorphic	pass	-	7	-
leanhammer	crush-only	1	20_irrelevant_quantifier	pass	-	50	-
leanhammer	crush-verify	1	01_prop_chain	pass	-	53	-
leanhammer	crush-verify	1	02_congruence	pass	-	95	-
leanhammer	crush-verify	1	03_quantified	pass	-	65	-
leanhammer	crush-verify	1	04_existential	pass	-	87	-
leanhammer	crush-verify	1	05_skolemization	pass	-	6	-
leanhammer	crush-verify	1	06_funext	pass	-	84	-
leanhammer	crush-verify	1	07_higher_order	pass	-	4	-
leanhammer	crush-verify	1	08_int_linear	pass	-	77	-
leanhammer	crush-verify	1	09_nat_sub	pass	-	70	-
leanhammer	crush-verify	1	10_option_injective	pass	-	42	-
leanhammer	crush-verify	1	11_enum_pigeonhole	pass	-	52	-
leanhammer	crush-verify	1	12_list_assoc	pass	-	59	-
leanhammer	crush-verify	1	13_composition	pass	-	94	-
leanhammer	crush-verify	1	14_bool_mixed	pass	-	14	-
leanhammer	crush-verify	1	15_bitvec	pass	-	68	-
leanhammer	crush-verify	1	16_string	pass	-	48	-
leanhammer	crush-verify	1	17_empty	pass	-	4	-
leanhammer	crush-verify	1	18_church_tower	fail	unknown	5045	-
leanhammer	crush-verify	1	19_polymorphic	pass	-	73	-
leanhammer	crush-verify	1	20_irrelevant_quantifier	pass	-	73	-
leanhammer	crush-core	1	01_prop_chain	pass	-	5	-
leanhammer	crush-core	1	02_congruence	pass	-	69	-
leanhammer	crush-core	1	03_quantified	pass	-	4	-
leanhammer	crush-core	1	04_existential	pass	-	4	-
leanhammer	crush-core	1	05_skolemization	pass	-	6	-
leanhammer	crush-core	1	06_funext	pass	-	83	-
leanhammer	crush-core	1	07_higher_order	pass	-	5	-
leanhammer	crush-core	1	08_int_linear	pass	-	89	-
leanhammer	crush-core	1	09_nat_sub	pass	-	99	-
leanhammer	crush-core	1	10_option_injective	pass	-	64	-
leanhammer	crush-core	1	11_enum_pigeonhole	pass	-	179	-
leanhammer	crush-core	1	12_list_assoc	pass	-	4	-
leanhammer	crush-core	1	13_composition	pass	-	123	-
leanhammer	crush-core	1	14_bool_mixed	pass	-	14	-
leanhammer	crush-core	1	15_bitvec	pass	-	68	-
leanhammer	crush-core	1	16_string	pass	-	74	-
leanhammer	crush-core	1	17_empty	pass	-	3	-
leanhammer	crush-core	1	18_church_tower	fail	unknown	5089	-
leanhammer	crush-core	1	19_polymorphic	pass	-	5	-
leanhammer	crush-core	1	20_irrelevant_quantifier	pass	-	69	-
leanhammer	crush-alethe	1	01_prop_chain	pass	-	71	-
leanhammer	crush-alethe	1	02_congruence	pass	-	58	-
leanhammer	crush-alethe	1	03_quantified	pass	-	75	-
leanhammer	crush-alethe	1	04_existential	pass	-	139	-
leanhammer	crush-alethe	1	05_skolemization	fail	unknown	59	-
leanhammer	crush-alethe	1	06_funext	pass	-	995	-
leanhammer	crush-alethe	1	07_higher_order	pass	-	542	-
leanhammer	crush-alethe	1	08_int_linear	pass	-	1361	-
leanhammer	crush-alethe	1	09_nat_sub	pass	-	4844	-
leanhammer	crush-alethe	1	10_option_injective	pass	-	126	-
leanhammer	crush-alethe	1	11_enum_pigeonhole	fail	reconstruction-failed	55	-
leanhammer	crush-alethe	1	12_list_assoc	pass	-	61	-
leanhammer	crush-alethe	1	13_composition	fail	reconstruction-failed	121	-
leanhammer	crush-alethe	1	14_bool_mixed	pass	-	175	-
leanhammer	crush-alethe	1	15_bitvec	pass	-	85	-
leanhammer	crush-alethe	1	16_string	pass	-	64	-
leanhammer	crush-alethe	1	17_empty	fail	sat	64	-
leanhammer	crush-alethe	1	18_church_tower	fail	unknown	5058	-
leanhammer	crush-alethe	1	19_polymorphic	fail	reconstruction-failed	64	-
leanhammer	crush-alethe	1	20_irrelevant_quantifier	fail	reconstruction-failed	46	-
leanhammer	crush-portfolio	1	01_prop_chain	pass	-	6	-
leanhammer	crush-portfolio	1	02_congruence	pass	-	53	-
leanhammer	crush-portfolio	1	03_quantified	pass	-	4	-
leanhammer	crush-portfolio	1	04_existential	pass	-	3	-
leanhammer	crush-portfolio	1	05_skolemization	pass	-	6	-
leanhammer	crush-portfolio	1	06_funext	pass	-	653	-
leanhammer	crush-portfolio	1	07_higher_order	pass	-	4	-
leanhammer	crush-portfolio	1	08_int_linear	pass	-	625	-
leanhammer	crush-portfolio	1	09_nat_sub	pass	-	2877	-
leanhammer	crush-portfolio	1	10_option_injective	pass	-	68	-
leanhammer	crush-portfolio	1	11_enum_pigeonhole	pass	-	108	-
leanhammer	crush-portfolio	1	12_list_assoc	pass	-	4	-
leanhammer	crush-portfolio	1	13_composition	pass	-	109	-
leanhammer	crush-portfolio	1	14_bool_mixed	pass	-	13	-
leanhammer	crush-portfolio	1	15_bitvec	pass	-	93	-
leanhammer	crush-portfolio	1	16_string	pass	-	93	-
leanhammer	crush-portfolio	1	17_empty	pass	-	3	-
leanhammer	crush-portfolio	1	18_church_tower	fail	unknown	5052	-
leanhammer	crush-portfolio	1	19_polymorphic	pass	-	4	-
leanhammer	crush-portfolio	1	20_irrelevant_quantifier	pass	-	55	-
leanhammer	grind-only	1	01_prop_chain	pass	-	1	-
leanhammer	grind-only	1	02_congruence	pass	-	2	-
leanhammer	grind-only	1	03_quantified	pass	-	1	-
leanhammer	grind-only	1	04_existential	pass	-	2	-
leanhammer	grind-only	1	05_skolemization	fail	tactic	2	-
leanhammer	grind-only	1	06_funext	pass	-	2	-
leanhammer	grind-only	1	07_higher_order	pass	-	5	-
leanhammer	grind-only	1	08_int_linear	pass	-	4	-
leanhammer	grind-only	1	09_nat_sub	pass	-	8	-
leanhammer	grind-only	1	10_option_injective	pass	-	2	-
leanhammer	grind-only	1	11_enum_pigeonhole	fail	tactic	1	-
leanhammer	grind-only	1	12_list_assoc	pass	-	5	-
leanhammer	grind-only	1	13_composition	pass	-	4	-
leanhammer	grind-only	1	14_bool_mixed	pass	-	5	-
leanhammer	grind-only	1	15_bitvec	pass	-	10	-
leanhammer	grind-only	1	16_string	pass	-	2	-
leanhammer	grind-only	1	17_empty	pass	-	1	-
leanhammer	grind-only	1	18_church_tower	fail	tactic	1	-
leanhammer	grind-only	1	19_polymorphic	fail	tactic	1	-
leanhammer	grind-only	1	20_irrelevant_quantifier	pass	-	8	-
