suite	lane	phase	events	total_ms	mean_ms	min_ms	max_ms	phase_pct
leanhammer	crush-alethe	collect	20	13.532	0.677	0.475	1.542	0.1
leanhammer	crush-alethe	instantiate	20	18.275	0.914	0.220	4.360	0.1
leanhammer	crush-alethe	monomorphize	20	14.125	0.706	0.087	4.804	0.1
leanhammer	crush-alethe	normalize	20	9.986	0.499	0.199	1.626	0.1
leanhammer	crush-alethe	replay	17	7691.801	452.459	0.111	4731.513	55.0
leanhammer	crush-alethe	solve	20	6107.667	305.383	28.757	5041.209	43.7
leanhammer	crush-alethe	translate	20	135.732	6.787	3.921	11.524	1.0
leanhammer	crush-core	collect	20	12.290	0.614	0.507	1.215	0.2
leanhammer	crush-core	instantiate	11	10.046	0.913	0.217	4.348	0.2
leanhammer	crush-core	monomorphize	11	5.514	0.501	0.086	4.380	0.1
leanhammer	crush-core	normalize	11	6.980	0.635	0.230	1.341	0.1
leanhammer	crush-core	pre-reconstruct	20	61.618	3.081	0.697	11.624	1.0
leanhammer	crush-core	reconstruct	10	171.461	17.146	2.979	99.736	2.9
leanhammer	crush-core	replay	10	0.279	0.028	0.023	0.033	0.0
leanhammer	crush-core	solve	11	5661.578	514.689	36.669	5060.713	94.3
leanhammer	crush-core	translate	11	75.285	6.844	3.929	14.754	1.3
leanhammer	crush-only	collect	20	10.526	0.526	0.446	0.846	1.6
leanhammer	crush-only	instantiate	11	7.281	0.662	0.210	3.162	1.1
leanhammer	crush-only	monomorphize	11	5.043	0.458	0.086	4.093	0.8
leanhammer	crush-only	normalize	11	5.907	0.537	0.238	1.351	0.9
leanhammer	crush-only	pre-reconstruct	20	51.807	2.590	0.740	10.870	7.9
leanhammer	crush-only	reconstruct	11	143.754	13.069	2.505	60.300	21.8
leanhammer	crush-only	replay	11	10.124	0.920	0.265	4.838	1.5
leanhammer	crush-only	solve	11	356.969	32.452	17.959	88.157	54.2
leanhammer	crush-only	translate	11	66.878	6.080	3.693	11.374	10.2
leanhammer	crush-portfolio	collect	20	10.760	0.538	0.488	0.640	0.1
leanhammer	crush-portfolio	instantiate	11	7.361	0.669	0.214	3.141	0.1
leanhammer	crush-portfolio	monomorphize	11	4.888	0.444	0.083	3.989	0.0
leanhammer	crush-portfolio	normalize	11	5.727	0.521	0.225	1.317	0.1
leanhammer	crush-portfolio	pre-reconstruct	20	53.380	2.669	0.617	10.761	0.5
leanhammer	crush-portfolio	reconstruct	3	67.124	22.375	2.629	60.517	0.7
leanhammer	crush-portfolio	replay	10	4044.114	404.411	0.111	2794.578	41.3
leanhammer	crush-portfolio	solve	11	5527.488	502.499	30.608	5033.161	56.5
leanhammer	crush-portfolio	translate	11	65.958	5.996	3.843	11.597	0.7
leanhammer	crush-verify	collect	20	11.353	0.568	0.484	0.757	0.2
leanhammer	crush-verify	instantiate	16	14.160	0.885	0.213	4.207	0.2
leanhammer	crush-verify	monomorphize	16	13.232	0.827	0.085	4.615	0.2
leanhammer	crush-verify	normalize	16	7.008	0.438	0.178	1.407	0.1
leanhammer	crush-verify	pre-reconstruct	20	54.147	2.707	0.615	11.345	0.9
leanhammer	crush-verify	solve	16	5879.810	367.488	33.350	5026.473	96.8
leanhammer	crush-verify	translate	16	93.340	5.834	3.547	11.784	1.5
